,tv_model,category,price,dimension,discounted,discount_rate,reviews,brand,num_of_reviews
10,"SONY - Smart TV OLED 4K 48"" XR48A90KAEP",Tv 4K,"€ 1.599,00",Dimensione schermo-pollici : 48 pollici,True,-18.0%,"[' Bild ist ok, Ton geht auch, dürfte bei dem Preis aber auch nicht schlechter sein.Die sogenannte Programmzeitschrift ist völlig unbrauchbar, weil nur aktuelle Sendungen anzeigt werden und das nicht mal vollständig. Später beginnende Sendungen erscheinen überhaupt nicht.Die Aufnahmefunktion ist damit absolut nutzlos, weil eben keine späteren Sendungen angezeigt werden, die man dann aufnehmen könnteDie Programmumschaltzeiten sind vorsintflutlich und es wird teilweise die falsche Programminfo angezeigt.Mein 13 Jahre alter Receiver kann beides besser!Die Bedienung ist unübersichtlich und verschachtelt, ganz zu schweigen von ""intuitiv"".Für mich steht fest: Nie wieder Sony! ', ' Ich habe am 19.12.2022 diesen TV gekauft zu hause dann aufgebaut und eingestellt alles ging leicht und locker von der Hand es war alles selbsterklärend die super Bildqualität und sagenhafte Ton ist überwältigend und natürlich die 120hz Bildwiederholrate die ganze Technik einfach super ich kann diesen TV ohne Einschränkungen weiter empfehlen ', ' In der EPG werden nur die laufenden Sendungen angezeigt, aber keine späteren.Wofür also? Damit ist auch die Aufnahmemöglichkeit absolut unnütz.Umschaltzeiten extrem träge. ', "" Très bon téléviseur aussi bien en qualité d'images que sur la qualité du son, suite aux conseils du vendeur qui nous a convaincu pour cet achat. "", ' Je suis satisfaite de mon achatBelle tv belles images facile à installer. ', ' Une qualité d’image sublime. ', ' Excellent ', "" Nous avons décidé de changer de TV pour remplacer une SONY KDL40W4000 de 2008 qui fonctionnait encore parfaitement. Le rendu d'image de cette TV OLED est incontestable avec une impression de couleurs vraies et noirs profonds (très bien en TV HD et encore mieux en 4K et/ou lecteur bluray). Cependant, le rendu sonore est très moyen (manque de basse), heureusement que l'on avait une barre de son avec fibre optique peu souvent utilisée depuis 2008 et qui maintenant permet de compenser ce manque de graves.  De plus, cette TV plus moderne consomme beaucoup plus que notre ancienne SONY de 2008 pour une taille quasi équivalente (pas terrible pour la planète). En plus, il n'y a plus de bouton M/A pour une conso 0W mais une veille à 0,5W voire encore 2w en veille si les modes Wifi et Bluetooth sont activés (si on veut 0W il faut mettre une prise M/A). Maintenant, il y a 2 télécommandes, une 'normale' une autre pour la connectivité NETFLIX, Disney, Prime... rétroéclairée et avec un bip pour la retrouver sous les coussins, SvP !  L'accès direct internet, Google, YouTube..etc est pas mal si on met de la reconnaissance vocale 'OK Google', parce qu'au clavier s'est pénible. Autre chose, la connectivité --> il n'y a plus de sortie audio type RCA/cinch si on veut connecter une chaine HIFI pour faire encore plus fort que la barre de son; il n'y a plus que du HDMI dont un canal peut convertir de l'audio en mode ARC (ce qui n'est pas courant sur les amplis audio  non récent). Il n'y a plus, non plus, de sortie casque filaire (prise Jack). Pour finir, il n'y a plus de bouton sur la TV pour changer de volume, changer de chaine, accéder au paramètre de réglages (il n'y a qu'un seul bouton très peu accessible avec lequel, moyennent des séquences d'appuis improbables, on peut faire quelques trucs qui étaient simples avant), ainsi, sans télécommande point de salut. Donc cette TV est très bien coté image et design, mais j'ai enlevé 1 point à cause de la qualité du son qui n'est pas au RdV (surtout pour les graves), une connectivité axée sur le non filaire (coté sortie audio) et une consommation minimum qui ne peut pas être 0W sans prise M/A externe, alors que le prix de cette TV est lui, bien au RdV... ""]",SONY ,8
11,"HISENSE - Smart TV Q-LED FHD 40"" 40A59KQ-Black",Tv Qled,"€ 299,00",Dimensione schermo-pollici : 40 pollici,True,-25.0%,[],HISENSE ,0
12,"HISENSE - Smart TV QLED 4K Dolby Vision 55"" 55E79HQ-Black",Tv Qled,"€ 429,00",Dimensione schermo-pollici : 55 pollici,True,-39.0%,[],HISENSE ,0
13,"SAMSUNG - Smart TV LED FHD 32"" UE32T5372CDXZT",Smart TV,"€ 299,00",Dimensione schermo-pollici : 32 pollici,True,-9.0%,[],SAMSUNG ,0
14,"SAMSUNG - Smart TV Q-LED FHD 32"" QE32LS03BBUXZT-Charcoal Black",Tv Qled,"€ 399,00",Dimensione schermo-pollici : 32 pollici,True,-20.0%,[' Bellissima ed elegante. Adatta a chi vuole un oggetto che arredi e non un semplice televisore. Ottima anche come smart tv e la varietà di programmi di samsung tv. '],SAMSUNG ,1
15,"SAMSUNG - Smart TV Crystal UHD 4K 75"" UE75TU7090",Tv 4K,"€ 824,00",Dimensione schermo-pollici : 75 pollici,True,-10.0%,[],SAMSUNG ,0
16,"SONY - SMART TV BRAVIA XR OLED 4K 65"" XR65A83KAEP",Tv 4K,"€ 1.999,00",Dimensione schermo-pollici : 65 pollici,True,-26.0%,"[' OLED con neri profondissimi, alto contrasto, nessun effetto scia, buona luminosità, buon audio nella versione A83 non serve sound bar, audio non distorce fino a 70-80 livello volume. Il sistema acoustic surface garantisce un audio proveniente direttamente dallo schermo. Il televisore è fornito con un software Android che garantisce la connessione anche con i prodotti Apple per AirPlay. Due telecomandi forniti uno classico ed un telecomando smart con accesso diretto a Netflix Prime video Disney Place e bravi a core. Il telecomando smart è inoltre dotato di retroilluminazione intelligente, microfono ed emettitore di segnale per il recupero. La presenza sul telecomando del microfono permette di ottenere una taratura degli audio in fase di registrazione ottimale rispetto alla stanza dove il televisore viene installato. il software è dotato delle funzioni sia per Google che per Alexa ed è interfacciabile con tutti sistemi di domotica Android ed Apple. IL top di gamma per quanto riguarda gli OLED. Unico aspetto negativo che riguarda però tutti gli OLED è la luminosità, il televisore ha una ottima visuale sia frontale che laterale in ambienti non eccessivamente illuminati o con luce diretta sullo schermo. Middle 2022- Prezzo tra 2200 ed 2700 ', "" Que dire sur cet écran!?Déjà la qualité d'image, il ne faut pas hésiter à se balader dans les menu afin d'y dénicher les meilleurs réglages personnel, une fois fait c'est une dinguerie,fluidité, colorimétrie, contraste... vive l'oled!!!Le son, très bien si vous n'avez pas de système home cinema sinon soyons honnête on ne remplace pas un bon 5.1 par un son de téléviseur,  le son est bon mais pas ouf.Les fonctionnalités sont parfaite, facile et intuitif.Pour conclure, c'est parfait pour les cinéphiles et consommateurs de séries,  aucun avis pour le gamming car je n'en fait pas. "", ' Acheté début août mais parti 15 jours en vacances, je le découvre vraiment actuellement: un image avec des couleurs magnifiques (si vous aimez les grands prix F1 et moto GP, c’est top ! Le seul bémol à mon avis c’est le son: il faut impérativement au minimum une barre de son pour que cela soit au même niveau que l’image, merci à la conseillère du magasin de Claye Souilly ', "" Une excellente télé (est-ce qu'on peut encore vraiment parler de télé en fait ?), image parfaite, 4K HDR DolbyVision à tomber, et le côté connecté est parfait aussi avec la télécommande qui a tous les raccourcis directement pour Netflix, Amazon Prime et Disney+ ! "", ' Rapide, réactif, noirs profonds. Les qualités de l’Oled avec en prime l’ergonomie et l’intégration de Google TV dans l’écosystème androïd. Mais pas que, puisque protocole AirPlay 2 iOS également intégré.Fini les boîtiers dans tous les coins… 👍 ', ' La définition de l’image et les couleurs sont parfaits. Couleurs non agressives sur un grand écran au contraire de certaines marques. Avec un noir ...noir ! La taille est parfaite. TV livré et installé en 2 jours. Un peu cher mais pas déçu ', ' Trop bien ', ' Une Télé incroyable, un son digne d’une barre de son.Je vous recommande ce téléviseur.Un vrai régal pour jouer et regarder des films ']",SONY ,8
17,SAMSUNG - Smart TV QLED 4K 55” QE55Q80B-Carbon Silver,Tv Qled,"€ 699,00",Dimensione schermo-pollici : 55 pollici,True,-22.0%,[],SAMSUNG ,0
18,SAMSUNG - Smart TV OLED 4K 65” QE65S95B-Eclipse Silver,Tv 4K,"€ 2.199,00",Dimensione schermo-pollici : 65 pollici,True,-37.0%,[],SAMSUNG ,0
19,"LG - Smart TV NanoCell UHD 4K 75"" 75NANO766QA-Ashed Blue",Tv NanoCell,"€ 999,00",Dimensione schermo-pollici : 75 pollici,True,-38.0%,[' ottima tv. Nnica pecca se cosi si può dire la nitidezza dei colori. Mi aspettavo qualche cosa di piu. '],LG ,1
20,"LG - SMART TV OLED UHD 4K 55"" OLED55G26LA-Argento",Tv 4K,"€ 1.569,00",Dimensione schermo-pollici : 55 pollici,True,-48.0%,"[' (Esta reseña se ha recibido a través de una promoción.) Se ajusta perfectamente a la pared y apenas sobresale más que un cuadro convencional, con lo que no ocupa espacio y queda muy decorativa. El modo de galería de arte, con un interesante repertorio de imágenes y clásicos de la pintura, realza la elegancia de sus formas. También puede mostrar imágenes y fotografías propias. La calidad de la imagen es excelente. Su sistema operativo WebOS aporta numerosas e interesantes funcionalidades. Y para aquellos a los que les guste, también permite ver la televisión, con sus series, sus informativos, su fútbol y todas esas cosas. En definitiva, una compra excelente, para satisfacción de toda la familia. ', "" Bought this because of Which? recommendation. Easy enough for two to physically set up with desk top stand and LG G2 soundbar with subwoofer (although annoyingly the sound bar can't sit on the same flat surface as the TV as it is too tall and would hide the bottom of the screen, so it has to be installed on an equally wide but lower flat surface - not many TV units designed like that!). Relied on techie son to do the screen / wifi set up (or whatever the technical terms are). Picture is excellent - we only use Sky Q so have little use for the LG remote but it seemed to work fine when needed for set up. Tidy cable arrangements at the rear. "", ' (Esta reseña se ha recibido a través de una promoción.) Viniendo de una pantalla plasma, tenía claro que al cambiar sería por una pantalla OLED, y no me ha defraudado... Negros puros, mucho mejor que mi antiguo plasma.En cuanto a calidad de imagen todos calificativos se quedan cortos, proporciona una calidad de imagen espectacular y con multitud de ajustes para conseguir lo mejor de cada tipo de fuente.Las capacidades HDR enriquecen muchísimo la imagen, y el escalado de fuentes no 4k roza la perfección.Las aplicaciones nativas, así como su multitud de conexiones le abren a un sin fin de utilidades, incluso permite passthrough de audio digital a amplificadores antiguos!En resumen, un 10. ', ' Der Fernseher OLED55G29LA kam sehr gut verpackt bei uns an. Innerhalb von 2 Stunden hing er an der Wand. Die beigefügte Schablone war dabei nicht hilfreich. Das Bild ist wirklich super, auch der Ton ist ganz okay. Eine Soundbar wäre wahrscheinlich besser. Auch die Verbindung mit der App funktioniert tadellos. Alle smarten Funktionen funktionieren tadellos. Der Galerie Modus ist allerdings ein Witz. Es handelt sich eher um eine Diashow. Standbild ist scheinbar nicht möglich. Ebenso der Anschluss an eine Sat Schüssel hat bisher noch nicht funktioniert. Tatsächlich wird das normale Fernsehen aber ja kaum noch benötigt. Wir sind zufrieden. ', ' Dovevamo cambiare la tv in soggiorno e abbiamo approfittato di un\'offerta acquistando questo 65"" che indubbiamente è il miglior tv mai avuto! Colori brillanti, risoluzione pazzesca e un audio senza precedenti. Avevamo una soundbar da collegargli ma l\'abbiamo riciclata altrove perché l\'audio del tv stesso, paragonato, è nettamente migliore. Con il ""nero vero"" il bianco risalta tantissimo, alcune volte anche troppo! Inoltre questa versione Gallery Edition lo rende bello anche esteticamente essendo sottilissimo e sembrando un quadro! È molto elegante!Allego 2 foto fatte alla tv da un cellulare di qualità media. Super consigliato! ', ' Era da tanto tempo che desideravo prendere questo modello di LG.Ho altre tv di LG, ma questo è il mio primo Oled e devo dire che sono rimasto veramente impressionato dal pannello. I colori sono fantastici e quando guardi un canale in 4k sembra di essere dentro nel filmato.Anche il sistema operativo WebOS è molto funzionale e potente.La funzionalità quadro in realtà non ti permette di mantenere un immagine fissa, ma cicla  attraverso piú immagini. Probabilmente per non rovinare il panello, ma facendo così si perde un po’ l’effetto quadro.Ad ogni modo stiamo parlando di un televisore top di gamma con qualitá straordinarie. ', "" [This review was collected as part of a promotion.] What a fantastic TV!The tv was well packed and easy to unbox. We decided to use a different wall mount because of the type of wall and we wanted it to tilt down slightly. Setup was really easy and didn't take long at all.The picture quality is just superb, perfect for watching anything in 4k. Its bright enough that any glare from the window is not as issue. And the inky blacks are nothing like you've ever seen. But the best part for me are the gaming features. 120fps and VRR. It really changes how some games play and really makes the PS5 feel next generation.  Overall I absolutely love this TV and would recommend to anyone "", ' Dovevamo cambiare la tv in soggiorno e abbiamo approfittato di un\'offerta acquistando questo 65"" che indubbiamente è il miglior tv mai avuto! Colori brillanti, risoluzione pazzesca e un audio senza precedenti. Avevamo una soundbar da collegargli ma l\'abbiamo riciclata altrove perché l\'audio del tv stesso, paragonato, è nettamente migliore. Con il ""nero vero"" il bianco risalta tantissimo, alcune volte anche troppo! Inoltre questa versione Gallery Edition lo rende bello anche esteticamente essendo sottilissimo e sembrando un quadro! È molto elegante! Allego 2 foto fatte alla tv da un cellulare di qualità media. Super consigliato! ']",LG ,8
21,"SONY - Smart TV OLED 65"" 4K XR65A95KAEP",Tv 4K,"€ 3.269,00",Dimensione schermo-pollici : 65 pollici,True,-7.0%,"[' Magnifique écran image superbe un peu compliqué à régler au début j ai commencer les réglages principaux seul mais heureusement que j avais pris l option d aide le technicien était super , très compréhensif il m a bien expliqué  tout était clair  il m a même aidé à  paramétrer d autres appareils il est resté quasiment 2h merci à lui . Pour la télé un seul petit bémol le son est un peu juste malgré les différents réglages un.peu dommage pour  un televiseur haut de gamme extrêmement cher . Des que je peux je prendrai une barre de son et les enceintes arrières . Je suis très très heureux de mon achat et de ce téléviseur un bonheur au quotidien . ', ' Le contraste et la luminosité est au rendez-vous. J’ai de très grandes baies vitrées et je peux vous le dire qu’il aucun problème pour regarder quoi que ce soit à la lumière du jour.Belle image avec des noirs bien profond.Je recommande cette télévision ', ' La technologie QD-OLED est vraiment bluffante et prometteuse. Les couleurs sont sublime. Belle finition comme toujours chez Sony et google tv au top . Je ne regrette pas mon achat ', ' le top ,terminer les reflets ,  image impecable,nouvelles applications , difficile de faire mieux,je recommande vivement ', ' Cette tv et juste incroyable une image comme j’en ai jamais vu des couleurs magnifiques, elle vaut largement son prix ', ' Image, son, définition, luminosité, anti reflet, tout est top. Sony a fait un top produit. Fixe au mur en 65 pouces. ', ' très cher mais elle en vaut la peine et si voulez le top prenez avec les 4 enceintes ht9 de sony ', ' Images superbes, son excellent. On regrette le manque du mode d emploi format papier. ']",SONY ,8
22,"SONY - Smart TV LED BRAVIA HD READY 32"" KD32W800PAEP",Smart TV,"€ 299,99",Dimensione schermo-pollici : 32 pollici,True,-40.0%,"["" Cet appareil acheté pour ma belle mère de 87 ans convient tout à fait au niveau du format et qualité d'image et de son. Cependant une télécommande plus simple et avec un changement de chaines et volumes groupés serait le bienvenu. "", ' Exactement ce que je recherchais. Vendeur motivé et compétent ', ' Produit très satisfaisant. Livraison rapide et bien faite ', ' très satisfaite, bon son et couleur naturelle. ', ' Bon produit  image  parfaite ', ' Très bonne télévision ']",SONY ,6
23,"LG - Smart TV LED FHD 32"" 32LM6380PLC-Silky White",Smart TV,"€ 279,00",Dimensione schermo-pollici : 32 pollici,True,-30.0%,"[' Buon apparecchio, semplice ed intuitivo, con un buon rapporto prezzo/qualità ', "" Ottimo prodotto, lo consiglio!Non dò 5 stelle solo perchè è diffcile trovare il manuale d'uso online, per il resto sono molto soddisfatta. Visione Nitida ! "", ' (Esta reseña se ha recibido a través de una promoción.) Compré este producto hace unos días y la tecnología que trae es impresionante. El diseño es muy moderno y acorde a las características de la televisión. ', ' Compré desechando otras marcas de la competencia y no me ha defraudado. Elijo casi siempre LG y mucho mas en televisores donde es tecnología puntera. ', ' ES UN BUEN TELEVISOR.   IMAGEN Y SONIDO EXCELENTES. MUY SATISFECHO CON LA COMPRA.  ES EL TERCER TELEVISOR LG QUE COMPRO ', ' Encantada con la compraBuena imagen y buen sonido ']",LG ,6
24,SAMSUNG - Smart TV QLED 4K 50” QE50Q60B-Black,Tv Qled,"€ 579,00",Dimensione schermo-pollici : 50 pollici,True,-39.0%,[],SAMSUNG ,0
25,"SAMSUNG - Smart TV HD 24"" UE24N4300",Smart TV,"€ 219,00",Dimensione schermo-pollici : 24 pollici,True,-8.0%,"["" e' bellissimo e comodo si vede bene e risparmio la offerta! ""]",SAMSUNG ,1
26,"SONY - Smart TV OLED 4K 55"" XR55A95KAEP",Tv 4K,"€ 2.399,00",Dimensione schermo-pollici : 55 pollici,True,-20.0%,"[' SONY , vend des TV avec des logiciels non à jour, pas de Bravia Cam pendant 3 mois !!!!!  Et cela sur toutes la gamme de TV avec Bravia Cam. Formidable SONY !!!! ', "" TV connectée. Nombreuses possibilités de connexion. Très belle qualité d'image. Prix élevé.. "", ' Image bouffante lumineuse  facile à régler le top ', ' Durbe TV rien à dire ']",SONY ,4
